monto_pesos,hora_dia,distancia_residencia_km,ingreso_mensual_pesos,fraude
56876.0,16,7.84,1810136.0,0
123969.0,17,3.45,3196107.0,0
27448.0,19,8.67,986729.0,0
161395.0,12,3.75,6033298.0,0
56760.0,6,16.46,3977612.0,0
69155.0,22,16.33,2384509.0,0
146826.0,10,12.81,2358551.0,0
408198.0,17,7.82,3309274.0,0
40597.0,20,4.5,2416708.0,0
68876.0,14,5.36,2472846.0,0
90873.0,13,5.25,4160589.0,0
52313.0,9,3.31,3716221.0,0
183735.0,7,9.34,2702964.0,0
6441.0,8,6.41,2671412.0,0
54376.0,16,10.98,3059108.0,0
62581.0,9,14.6,1997526.0,0
79523.0,13,6.7,2242423.0,0
42965.0,13,14.5,3785441.0,0
39331.0,20,4.88,2606097.0,0
32309.0,14,2.03,1314801.0,0
66349.0,15,7.07,2153547.0,0
152490.0,18,4.19,4017908.0,0
44908.0,10,11.42,2464192.0,0
260385.0,16,3.61,2580070.0,0
390420.0,7,6.15,3985368.0,0
410139.0,7,4.28,7638147.0,0
10291.0,21,4.1,1891491.0,0
180856.0,11,5.27,5877510.0,0
50836.0,13,12.95,1423491.0,0
183857.0,8,7.54,3082858.0,0
12207.0,10,3.49,1471641.0,0
569854.0,19,15.81,5888030.0,0
95927.0,20,4.35,4429457.0,0
112947.0,15,7.08,5234983.0,0
103219.0,9,7.21,1720433.0,0
98541.0,21,3.98,4080113.0,0
83483.0,17,0.71,2104677.0,0
69798.0,7,9.96,2177239.0,0
98017.0,16,2.07,3699563.0,0
111808.0,12,25.59,4534952.0,0
71718.0,5,6.7,3133186.0,0
17956.0,10,23.47,1982238.0,0
19434.0,14,2.96,1777878.0,0
294869.0,14,17.69,6196557.0,0
40783.0,21,8.73,3881764.0,0
105362.0,13,3.81,4159812.0,0
576835.0,11,5.87,9304870.0,0
16992.0,19,2.19,1787637.0,0
80274.0,13,3.1,11442348.0,0
271893.0,14,6.82,15000000.0,0
208900.0,9,17.15,6819230.0,0
108260.0,17,13.98,4412882.0,0
29665.0,17,9.06,1943552.0,0
30144.0,14,21.04,4838412.0,0
89488.0,11,5.91,2194905.0,0
85299.0,14,5.95,2766856.0,0
35981.0,18,3.91,2386627.0,0
42339.0,16,9.51,3273062.0,0
1452268.0,19,13.33,5686314.0,0
72820.0,12,0.92,2062767.0,0
45627.0,15,1.48,1628480.0,0
24371.0,14,11.34,1612835.0,0
423473.0,15,5.97,1643892.0,0
42244.0,13,1.37,1274448.0,0
15934.0,14,16.12,1694700.0,0
284722.0,12,8.28,5702562.0,0
21502.0,13,8.05,2020405.0,0
64201.0,10,12.54,3225309.0,0
113994.0,19,6.79,1433799.0,0
140431.0,11,6.17,3073839.0,0
18832.0,19,9.12,1074859.0,0
168372.0,18,5.09,1906566.0,0
435581.0,16,7.0,9675683.0,0
22959.0,15,3.38,2031930.0,0
41600.0,18,9.39,5184153.0,0
187255.0,17,13.31,3596277.0,0
199271.0,14,10.59,2574042.0,0
86766.0,5,5.95,1956116.0,0
88014.0,12,5.76,5682661.0,0
27086.0,11,10.06,2539732.0,0
46892.0,22,6.9,6486369.0,0
59314.0,11,7.13,1885374.0,0
77496.0,15,9.8,2889709.0,0
45097.0,10,9.25,3616996.0,0
72541.0,21,5.21,3437889.0,0
58477.0,22,18.94,1420528.0,0
42380.0,14,2.01,1943295.0,0
48754.0,23,4.79,2513887.0,0
65687.0,12,11.41,1750821.0,0
15235.0,4,6.79,4063921.0,0
117699.0,20,5.7,3869131.0,0
21822.0,10,6.7,954300.0,0
53268.0,14,1.97,1037413.0,0
19458.0,20,4.48,1383698.0,0
43110.0,9,3.47,2986530.0,0
49893.0,13,9.4,8566543.0,0
59536.0,14,8.54,2268964.0,0
46239.0,14,7.47,3213875.0,0
30778.0,15,7.89,1560347.0,0
358459.0,12,4.15,1574377.0,0
41925.0,12,11.9,954225.0,0
44192.0,16,9.58,2756688.0,0
63817.0,21,13.77,4714244.0,0
93536.0,20,4.02,2301190.0,0
591475.0,11,7.55,6035560.0,0
301146.0,10,2.78,3121893.0,0
15587.0,13,11.62,2744483.0,1
49848.0,18,3.7,3721434.0,0
37936.0,17,6.01,3660783.0,1
65107.0,8,1.61,5264114.0,0
31487.0,21,19.74,1801365.0,0
81948.0,12,1.66,900000.0,0
148946.0,10,2.68,2982405.0,0
100155.0,14,8.35,2000102.0,0
40035.0,12,17.18,2758458.0,0
443106.0,17,13.25,6993523.0,0
20769.0,17,3.74,1526620.0,0
113740.0,19,5.04,4264214.0,0
41481.0,18,10.99,4710747.0,0
55437.0,23,1.28,3607534.0,0
108700.0,9,17.13,5179968.0,0
24413.0,14,7.97,2176069.0,0
99180.0,12,9.48,1924737.0,0
42890.0,18,21.21,4958285.0,0
182750.0,16,7.39,4161121.0,0
204687.0,13,6.24,6015427.0,0
262515.0,16,0.31,3146777.0,0
67059.0,13,11.93,6838573.0,0
9171.0,20,4.46,2397617.0,0
54114.0,12,1.1,1562736.0,0
5000.0,11,7.22,913219.0,0
42682.0,13,9.84,1527830.0,0
432844.0,12,32.28,4392051.0,0
23420.0,13,2.2,1250957.0,0
185557.0,16,18.4,2183260.0,0
767765.0,12,4.6,8919506.0,0
78366.0,13,16.62,4460930.0,0
134818.0,7,11.69,7498184.0,0
34266.0,17,1.79,1622974.0,0
90386.0,21,6.07,900000.0,0
87242.0,16,8.98,6447090.0,0
33730.0,19,3.12,1284412.0,0
88301.0,11,18.51,2943582.0,0
219492.0,20,4.55,3155102.0,0
42761.0,7,6.42,1661509.0,0
105354.0,22,2.71,6576927.0,0
121287.0,19,7.91,6565017.0,0
83099.0,23,4.88,3792076.0,0
107250.0,11,6.06,2754951.0,0
40641.0,5,9.95,3110893.0,0
5910.0,17,12.43,1532453.0,0
55161.0,8,9.41,2455019.0,0
34722.0,17,6.87,2642978.0,0
44494.0,11,6.3,1752234.0,0
88013.0,8,2.52,4466868.0,0
52935.0,11,7.22,1277691.0,0
53585.0,7,4.38,2181994.0,0
6866.0,13,4.45,900000.0,0
96194.0,10,12.84,3679841.0,0
117371.0,10,22.65,4212484.0,0
74418.0,0,3.5,3940589.0,1
43299.0,17,2.14,13937277.0,0
48647.0,17,5.81,4695030.0,0
26497.0,14,7.92,1667832.0,0
1601917.0,14,6.39,12116480.0,1
16053.0,17,19.55,1687831.0,0
104436.0,21,5.42,4320735.0,0
41472.0,18,2.91,4213694.0,0
20708.0,14,1.1,1725940.0,0
72057.0,21,5.66,6031895.0,0
24354.0,15,8.96,3402961.0,0
346765.0,11,2.11,3832987.0,0
208316.0,16,9.7,1930861.0,0
298829.0,16,6.7,5732019.0,0
32493.0,21,2.53,1743864.0,0
73580.0,13,4.08,1052409.0,0
155285.0,13,7.83,6131499.0,0
61559.0,2,6.9,2214261.0,0
40803.0,14,5.63,2867593.0,0
422266.0,10,5.0,8061791.0,0
211631.0,17,12.36,5231456.0,0
54928.0,20,8.33,3965411.0,0
353829.0,19,7.89,5043357.0,0
20113.0,7,6.52,1876653.0,0
128071.0,15,3.63,4236842.0,0
167080.0,15,3.24,5155607.0,0
678943.0,10,8.08,4242283.0,0
21784.0,13,5.75,2502638.0,0
16653.0,14,18.48,900000.0,0
59811.0,10,27.71,3804314.0,0
76726.0,12,3.25,2982618.0,0
33357.0,18,12.41,2284998.0,0
113654.0,9,28.59,4295524.0,0
20567.0,23,12.59,3240592.0,0
103596.0,15,3.23,3132386.0,0
19286.0,23,10.81,1238182.0,0
5000.0,14,19.48,1254820.0,0
30770.0,17,13.97,3432930.0,0
169232.0,18,10.17,2919612.0,0
175598.0,10,2.98,3022024.0,0
846703.0,20,4.62,3068117.0,0
41029.0,8,3.03,3511069.0,0
18432.0,17,5.42,2856096.0,0
203963.0,13,13.29,3053820.0,0
40206.0,21,4.2,3223547.0,0
219896.0,13,10.39,4668299.0,1
135075.0,17,13.26,2109689.0,0
23212.0,11,2.13,4315173.0,0
479668.0,11,10.47,3973432.0,0
65440.0,16,9.21,2967116.0,0
124998.0,9,3.18,2156115.0,0
751853.0,10,9.22,3430295.0,0
875913.0,14,15.41,4503273.0,0
18402.0,17,2.32,1550197.0,0
144710.0,15,0.66,2897359.0,0
55994.0,9,1.31,2901502.0,0
24352.0,20,33.03,1946355.0,0
71787.0,12,1.15,1991745.0,1
44457.0,8,5.89,1193021.0,0
87300.0,17,15.45,1526381.0,0
252624.0,17,6.41,1202025.0,0
19974.0,6,6.07,1994722.0,0
80105.0,18,6.14,2057778.0,0
30610.0,12,5.91,2079053.0,0
37014.0,11,4.5,3435399.0,0
222298.0,15,4.43,2525547.0,0
45885.0,13,4.63,1875204.0,0
95558.0,16,10.47,1882468.0,0
88116.0,21,12.29,1502738.0,0
155027.0,9,7.15,2513628.0,0
47897.0,10,2.29,2489021.0,0
119506.0,17,6.18,6836298.0,0
172337.0,16,16.85,6510412.0,0
483773.0,8,3.76,6312082.0,0
436065.0,11,10.17,8786379.0,0
8911.0,14,9.7,1433662.0,0
42214.0,20,4.58,4054230.0,0
86208.0,17,1.15,4255442.0,0
32708.0,22,2.67,3638379.0,0
631849.0,13,7.23,9018595.0,0
880376.0,18,10.02,11307326.0,0
66414.0,20,5.33,4798345.0,0
101492.0,12,5.52,4010235.0,0
23900.0,20,5.04,1510288.0,0
16869.0,11,1.46,1511983.0,0
72477.0,12,1.74,4115425.0,0
42814.0,10,4.56,2685915.0,0
40921.0,7,3.07,1346907.0,0
154531.0,14,2.27,2615371.0,0
113104.0,18,1.53,3413109.0,0
34862.0,18,9.37,4685062.0,0
97418.0,19,1.78,2638989.0,0
81590.0,7,6.86,2414639.0,0
109183.0,18,12.69,2809576.0,0
116683.0,16,7.52,3079479.0,0
47680.0,19,18.31,1476827.0,0
19795.0,8,23.69,4427960.0,0
218772.0,12,3.88,9339931.0,0
38744.0,10,9.08,4381669.0,0
18099.0,7,10.75,1262521.0,0
91033.0,15,5.95,2949392.0,0
117449.0,15,5.33,1060270.0,0
121710.0,18,18.96,1023832.0,0
41965.0,22,9.93,4023723.0,0
43920.0,10,4.68,2922170.0,0
74021.0,8,12.04,1918817.0,0
48938.0,13,8.04,900000.0,0
75609.0,22,11.65,1393344.0,0
117161.0,21,3.92,3061262.0,0
313971.0,10,6.38,2849550.0,0
211625.0,10,0.83,4091675.0,0
361555.0,13,4.55,6472009.0,0
29393.0,18,26.09,2323392.0,0
37328.0,18,6.7,3623902.0,0
87378.0,10,3.38,2595633.0,0
60615.0,12,7.85,2130854.0,0
41227.0,10,29.82,2447298.0,0
75166.0,22,2.87,4749473.0,0
92520.0,0,3.16,1590405.0,0
